UID	Session	Run	SubjNum	Args	SiteName	Note	Run according to Ben (testing)																				
18	FED_20150827a_3T1	8	123	3, 1, 1																							
18	FED_20150827a_3T1	10	123	3, 1, 2																							
18	FED_20150827a_3T1	12	123	3, 2, 1																							
18	FED_20150827a_3T1	14	123	3, 2, 2																							
18	FED_20150827a_3T1	16	123	3, 3, 1																							
18	FED_20150827a_3T1	18	123	3, 3, 2																							
18	FED_20150827a_3T1	20	123	3, 4, 1																							
18	FED_20150827a_3T1	22	123	3, 4, 2																							
18	FED_20150827a_3T1	24	123	3, 5, 1																							
18	FED_20150827a_3T1	26	123	3, 5, 2																							
18	FED_20150827a_3T1	28	123	3, 6, 1																							
18	FED_20150827a_3T1	30	123	3, 6, 2																							
50	FED_20161115a_3T2	5	1601	3, 1, 1	'MIT'																						
50	FED_20161115a_3T2	7	1601	3, 1, 2	'MIT'																						
50	FED_20161115a_3T2	9	1601	3, 2, 1	'MIT'																						
50	FED_20161115a_3T2	11	1601	3, 2, 2	'MIT'																						
50	FED_20161115a_3T2	13	1601	3, 3, 1	'MIT'																						
50	FED_20161115a_3T2	15	1601	3, 3, 2	'MIT'																						
50	FED_20161115a_3T2	17	1601	3, 4, 1	'MIT'																						
50	FED_20161115a_3T2	19	1601	3, 4, 2	'MIT'																						
50	FED_20161115a_3T2	21	1601	3, 5, 1	'MIT'																						
50	FED_20161115a_3T2	23	1601	3, 5, 2	'MIT'																						
199	FED_20161107a_3T2	5	1302	3, 1, 1	'MIT'																						
199	FED_20161107a_3T2	7	1302	3, 1, 2	'MIT'																						
199	FED_20161107a_3T2	9	1302	3, 2, 1	'MIT'																						
199	FED_20161107a_3T2	11	1302	3, 2, 2	'MIT'																						
199	FED_20161107a_3T2	13	1302	3, 3, 1	'MIT'																						
199	FED_20161107a_3T2	15	1302	3, 3, 2	'MIT'																						
199	FED_20161107a_3T2	17	1302	3, 4, 1	'MIT'																						
199	FED_20161107a_3T2	19	1302	3, 4, 2	'MIT'																						
199	FED_20161107a_3T2	21	1302	3, 5, 1	'MIT'																						
199	FED_20161107a_3T2	23	1302	3, 5, 2	'MIT'																						
199	FED_20161107a_3T2	25	1302	3, 6, 1	'MIT'																						
199	FED_20161107a_3T2	27	1302	3, 6, 2	'MIT'																						
215	FED_20150812c_3T1	6	117	3, 1, 1																							
215	FED_20150812c_3T1	8	117	3, 1, 2																							
215	FED_20150812c_3T1	10	117	3, 2, 1																							
215	FED_20150812c_3T1	12	117	3, 2, 2																							
215	FED_20150812c_3T1	14	117	3, 3, 1																							
215	FED_20150812c_3T1	16	117	3, 3, 2																							
215	FED_20150812c_3T1	18	117	3, 4, 1																							
215	FED_20150812c_3T1	20	117	3, 4, 2																							
215	FED_20150812c_3T1	22	117	3, 5, 1																							
215	FED_20150812c_3T1	24	117	3, 5, 2																							
215	FED_20150812c_3T1	26	117	3, 6, 1																							
252	FED_20161115b_3T2	3	1703	3, 1, 1	'MIT'																						
252	FED_20161115b_3T2	5	1703	3, 1, 2	'MIT'																						
252	FED_20161115b_3T2	7	1703	3, 2, 1	'MIT'																						
252	FED_20161115b_3T2	9	1703	3, 2, 2	'MIT'																						
252	FED_20161115b_3T2	11	1703	3, 3, 1	'MIT'																						
252	FED_20161115b_3T2	13	1703	3, 3, 2	'MIT'																						
252	FED_20161115b_3T2	15	1703	3, 4, 1	'MIT'																						
252	FED_20161115b_3T2	17	1703	3, 4, 2	'MIT'																						
252	FED_20161115b_3T2	19	1703	3, 5, 1	'MIT'																						
252	FED_20161115b_3T2	21	1703	3, 5, 2	'MIT'																						
252	FED_20161115b_3T2	23	1703	3, 6, 1	'MIT'																						
252	FED_20161115b_3T2	25	1703	3, 6, 2	'MIT'																						
280	FED_20150814b_3T1	6	120	3, 1, 1																							
280	FED_20150814b_3T1	8	120	3, 1, 2																							
280	FED_20150814b_3T1	10	120	3, 2, 1																							
280	FED_20150814b_3T1	12	120	3, 2, 2																							
280	FED_20150814b_3T1	14	120	3, 3, 1																							
280	FED_20150814b_3T1	16	120	3, 3, 2																							
280	FED_20150814b_3T1	18	120	3, 4, 1																							
280	FED_20150814b_3T1	20	120	3, 4, 2																							
280	FED_20150814b_3T1	22	120	3, 5, 1																							
280	FED_20150814b_3T1	24	120	3, 5, 2																							
280	FED_20150814b_3T1	26	120	3, 6, 1																							
280	FED_20150814b_3T1	30	120	3, 6, 2																							
288	FED_20150722b_3T1	7	108	3, 1, 1																							
288	FED_20150722b_3T1	9	108	3, 1, 2																							
288	FED_20150722b_3T1	11	108	3, 2, 1																							
288	FED_20150722b_3T1	13	108	3, 2, 2																							
288	FED_20150722b_3T1	15	108	3, 3, 1																							
288	FED_20150722b_3T1	17	108	3, 3, 2																							
288	FED_20150722b_3T1	19	108	3, 4, 1																							
288	FED_20150722b_3T1	21	108	3, 4, 2																							
288	FED_20150722b_3T1	23	108	3, 5, 1																							
288	FED_20150722b_3T1	25	108	3, 5, 2																							
296	FED_20150814a_3T1	8	119	3, 1, 1																							
296	FED_20150814a_3T1	10	119	3, 1, 2																							
296	FED_20150814a_3T1	12	119	3, 2, 1																							
296	FED_20150814a_3T1	14	119	3, 2, 2																							
296	FED_20150814a_3T1	16	119	3, 3, 1																							
296	FED_20150814a_3T1	18	119	3, 3, 2																							
296	FED_20150814a_3T1	20	119	3, 4, 1																							
296	FED_20150814a_3T1	22	119	3, 4, 2																							
296	FED_20150814a_3T1	24	119	3, 5, 1																							
296	FED_20150814a_3T1	26	119	3, 5, 2																							
296	FED_20150814a_3T1	28	119	3, 6, 1																							
296	FED_20150814a_3T1	30	119	3, 6, 2																							
298	FED_20150812a_3T1	8	115	3, 1, 1																							
298	FED_20150812a_3T1	10	115	3, 1, 2																							
298	FED_20150812a_3T1	12	115	3, 2, 1																							
298	FED_20150812a_3T1	14	115	3, 2, 2																							
298	FED_20150812a_3T1	16	115	3, 3, 1																							
298	FED_20150812a_3T1	18	115	3, 3, 2																							
298	FED_20150812a_3T1	20	115	3, 4, 1																							
298	FED_20150812a_3T1	22	115	3, 4, 2																							
298	FED_20150812a_3T1	24	115	3, 5, 1																							
298	FED_20150812a_3T1	26	115	3, 5, 2																							
298	FED_20150812a_3T1	28	115	3, 6, 1																							
298	FED_20150812a_3T1	30	115	3, 6, 2																							
343	FED_20160422b_3T2	5	802	3, 1, 1	'MIT'																						
343	FED_20160422b_3T2	7	802	3, 1, 2	'MIT'																						
343	FED_20160422b_3T2	9	802	3, 2, 1	'MIT'																						
343	FED_20160422b_3T2	11	802	3, 2, 2	'MIT'																						
343	FED_20160422b_3T2	13	802	3, 3, 1	'MIT'																						
343	FED_20160422b_3T2	15	802	3, 3, 2	'MIT'																						
343	FED_20160422b_3T2	17	802	3, 4, 1	'MIT'																						
343	FED_20160422b_3T2	19	802	3, 4, 2	'MIT'																						
343	FED_20160422b_3T2	21	802	3, 5, 1	'MIT'																						
343	FED_20160422b_3T2	23	802	3, 5, 2	'MIT'																						
361	FED_20160429c_3T2	5	1001	3, 1, 1	'MIT'																						
361	FED_20160429c_3T2	7	1001	3, 1, 2	'MIT'																						
361	FED_20160429c_3T2	9	1001	3, 2, 1	'MIT'																						
361	FED_20160429c_3T2	11	1001	3, 2, 2	'MIT'																						
361	FED_20160429c_3T2	13	1001	3, 3, 1	'MIT'																						
361	FED_20160429c_3T2	15	1001	3, 3, 2	'MIT'																						
361	FED_20160429c_3T2	17	1001	3, 4, 1	'MIT'																						
361	FED_20160429c_3T2	19	1001	3, 4, 2	'MIT'																						
366	FED_20160429b_3T2	5	902	3, 1, 1	'MIT'																						
366	FED_20160429b_3T2	7	902	3, 1, 2	'MIT'																						
366	FED_20160429b_3T2	9	902	3, 2, 1	'MIT'																						
366	FED_20160429b_3T2	11	902	3, 2, 2	'MIT'	sneezed briefly																					
366	FED_20160429b_3T2	13	902	3, 3, 1	'MIT'																						
366	FED_20160429b_3T2	15	902	3, 3, 2	'MIT'																						
366	FED_20160429b_3T2	17	902	3, 4, 1	'MIT'	event used here is wide enough to go off screen																					
366	FED_20160429b_3T2	19	902	3, 4, 2	'MIT'																						
366	FED_20160429b_3T2	21	902	3, 5, 1	'MIT'																						
366	FED_20160429b_3T2	23	902	3, 5, 2	'MIT'																						
366	FED_20160429b_3T2	25	902	3, 6, 1	'MIT'																						
366	FED_20160429b_3T2	27	902	3, 6, 2	'MIT'																						
407	FED_20161107a_3T1	5	1402	3, 1, 1	'MIT'																						
